,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
673,392,George Gordon Abel,M,35.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
1366,772,"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
2126,1181,Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2127,1181,Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2128,1181,Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
6359,3563,"Francis ""Frank"" Amyot",M,31.0,188.0,84.0,Canada,CAN,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
6817,3824,Jasey-Jay Anderson,M,34.0,178.0,80.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Gold
8105,4478,Dana Antal,F,24.0,170.0,64.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
8634,4742,Gillian Mary Apps,F,22.0,180.0,80.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
8635,4742,Gillian Mary Apps,F,26.0,180.0,80.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
8636,4742,Gillian Mary Apps,F,30.0,180.0,80.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
9513,5219,"Donald John ""Don"" Arnold",M,21.0,178.0,83.0,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Fours,Gold
12653,6890,Donovan Bailey,M,28.0,183.0,82.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Gold
12654,6890,Donovan Bailey,M,28.0,183.0,82.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
14334,7732,Darren Barber,M,23.0,193.0,98.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
14751,7961,Jennifer-Kirsten Barnes,F,24.0,175.0,75.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Gold
14752,7961,Jennifer-Kirsten Barnes,F,24.0,175.0,75.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
15788,8514,Guillaume Bastille,M,24.0,176.0,70.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
16285,8749,"Alexander ""Alex"" Baumann",M,20.0,189.0,80.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,Gold
16286,8749,"Alexander ""Alex"" Baumann",M,20.0,189.0,80.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Individual Medley,Gold
17082,9142,Kelly Bchard,F,24.0,175.0,66.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
17408,9276,ric Bdard,M,21.0,173.0,77.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
17409,9276,ric Bdard,M,25.0,173.0,77.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
17417,9278,Myriam Bdard,F,24.0,161.0,54.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold
17418,9278,Myriam Bdard,F,24.0,161.0,54.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,Gold
